aX,aY,aZ,gX,gY,gZ
0.413,0.092,2.304,67.749,96.68,-3.601
0.501,0.181,2.416,42.847,100.769,-0.305
0.43,0.232,2.576,24.719,101.135,3.784
0.327,0.181,2.646,20.508,98.877,4.517
0.263,0.086,2.577,17.944,103.149,2.502
0.26,0.003,2.364,1.16,125.0,-1.709
0.278,-0.001,2.209,-23.56,169.006,-11.23
0.347,0.059,2.165,-45.41,222.656,-29.48
0.517,0.158,2.129,-59.692,263.977,-50.415
0.682,0.258,2.056,-72.144,284.607,-62.683
0.718,0.293,1.948,-78.735,287.354,-63.477
0.67,0.274,1.815,-77.759,277.649,-60.73
0.66,0.186,1.615,-71.716,264.16,-59.082
0.655,0.102,1.461,-66.772,254.7,-57.617
0.614,0.033,1.443,-65.002,249.084,-54.626
0.569,-0.016,1.468,-67.2,242.92,-52.551
0.497,-0.004,1.461,-73.364,233.398,-50.293
0.437,0.019,1.408,-78.369,219.788,-43.518
0.383,-0.053,1.29,-82.581,205.75,-32.288
0.318,-0.175,1.14,-90.332,195.251,-26.245
0.192,-0.163,0.941,-99.121,186.768,-33.325
0.099,-0.086,0.741,-99.609,186.279,-45.532
0.063,-0.016,0.549,-91.614,197.205,-58.289
0.007,0.035,0.359,-77.942,216.858,-66.284
0.058,0.025,0.246,-58.044,243.774,-70.557
0.176,0.012,0.195,-32.959,269.653,-74.585
0.27,-0.026,0.145,-6.714,285.339,-76.782
0.347,-0.034,0.057,19.348,286.438,-77.759
0.38,-0.082,-0.024,44.434,277.039,-75.623
0.47,-0.138,-0.007,66.65,260.071,-69.214
0.474,-0.464,-0.019,82.092,230.835,-56.824
0.576,-0.635,-0.005,89.905,189.453,-55.969
0.509,-0.677,-0.232,86.365,141.296,-54.382
0.471,-0.799,-0.385,68.604,108.276,-46.143
0.489,-0.882,-0.454,47.913,89.111,-41.382
0.467,-0.814,-0.367,28.564,76.965,-41.809
0.414,-0.636,-0.171,15.198,63.11,-39.978
0.279,-0.434,-0.17,11.658,37.72,-29.358
0.108,-0.315,-0.244,14.343,18.25,-5.981
