aX,aY,aZ,gX,gY,gZ
-1.454,-0.356,0.897,-36.987,-344.177,28.198
-1.562,-0.46,0.79,-29.663,-393.86,51.88
-1.635,-0.534,0.675,-28.87,-434.814,73.486
-1.678,-0.593,0.618,-28.32,-463.745,94.421
-1.656,-0.632,0.565,-27.588,-476.44,113.22
-1.623,-0.648,0.476,-30.884,-472.595,125.854
-1.57,-0.58,0.24,-37.537,-452.332,139.954
-1.67,-0.683,0.018,-44.556,-415.649,171.082
-1.805,-0.882,-0.09,-78.613,-359.863,210.999
-1.818,-1.086,-0.158,-120.483,-301.331,231.567
-1.698,-1.151,-0.266,-132.874,-257.019,234.192
-1.556,-1.02,-0.419,-126.831,-224.365,226.501
-1.467,-0.729,-0.62,-124.695,-194.214,219.849
-1.404,-0.498,-0.684,-128.784,-159.363,222.595
-1.305,-0.391,-0.701,-136.536,-114.685,235.779
-1.141,-0.451,-0.61,-142.944,-68.298,249.39
-0.983,-0.636,-0.499,-145.874,-32.959,255.615
-0.9,-0.81,-0.433,-148.926,-11.414,247.925
-0.846,-0.896,-0.39,-158.569,3.601,230.835
-0.784,-0.868,-0.34,-174.438,18.86,212.708
-0.718,-0.73,-0.271,-189.453,33.02,198.669
-0.671,-0.525,-0.187,-197.876,43.579,193.726
-0.657,-0.335,-0.106,-200.439,52.856,200.378
-0.644,-0.219,-0.034,-201.599,63.904,216.736
-0.621,-0.149,-0.007,-203.125,77.759,235.046
-0.583,-0.103,-0.019,-201.172,92.834,246.033
-0.573,-0.117,-0.069,-198.486,108.826,248.84
-0.554,-0.153,-0.113,-192.932,132.874,255.737
-0.492,-0.136,-0.145,-185.608,163.391,270.691
-0.411,-0.046,-0.167,-177.246,195.923,277.832
-0.349,0.11,-0.146,-164.856,229.858,280.884
-0.312,0.254,-0.04,-144.226,263.977,287.72
-0.228,0.386,0.128,-114.624,290.833,302.551
-0.102,0.501,0.328,-85.083,302.307,322.388
0.015,0.559,0.522,-56.946,295.288,339.478
0.111,0.56,0.703,-34.058,268.188,358.887
0.151,0.512,0.789,-17.822,223.389,380.31
0.132,0.425,0.713,-8.484,172.241,398.804
-0.006,0.342,0.551,5.676,131.348,411.133
-0.15,0.283,0.353,25.391,111.572,416.992
-0.233,0.248,0.174,38.513,109.314,416.931
-0.28,0.24,0.037,47.913,121.033,411.621
-0.325,0.259,-0.048,56.824,144.043,402.71
-0.334,0.307,-0.105,60.73,175.659,393.921
-0.292,0.364,-0.115,57.739,212.891,388.611
-0.217,0.401,-0.052,48.95,249.939,384.46
-0.135,0.388,0.047,41.992,278.625,373.596
-0.087,0.316,0.136,41.321,289.062,351.624
-0.12,0.217,0.204,37.964,282.104,322.205
-0.154,0.137,0.203,28.259,265.503,289.978
-0.158,0.145,0.12,20.935,248.108,255.92
-0.139,0.24,-0.005,23.926,237.305,225.952
-0.054,0.355,-0.134,34.241,232.849,206.482
0.107,0.455,-0.274,51.453,232.422,197.693
0.256,0.487,-0.392,77.332,232.117,197.632
0.418,0.449,-0.513,97.9,232.605,204.224
0.577,0.351,-0.621,100.098,236.816,216.553
0.707,0.215,-0.722,90.393,242.31,227.173
0.786,0.044,-0.848,78.186,246.033,227.722
0.961,-0.067,-1.089,56.824,247.742,219.116
1.208,-0.048,-1.455,32.532,240.662,204.163
1.39,0.042,-1.858,22.156,218.323,180.847
1.616,0.15,-2.221,13.55,189.575,153.809
1.86,0.234,-2.544,6.531,165.894,127.197
1.692,0.168,-3.013,11.78,165.161,97.961
1.728,0.019,-3.035,11.658,225.83,61.523
2.133,-0.008,-2.411,-17.273,291.809,24.902
2.403,-0.037,-1.625,-34.302,299.072,-18.372
2.196,0.124,-1.331,-19.958,240.173,-50.232
2.004,0.105,-1.418,-9.094,158.325,-49.744
1.711,0.321,-1.479,-16.052,98.45,-44.495
1.537,0.211,-1.538,-10.132,66.895,-21.851
1.393,-0.043,-1.306,-14.771,52.368,-7.935
1.273,-0.287,-1.194,-6.104,34.119,-20.508
1.187,-0.219,-1.148,9.521,15.503,-37.781
1.14,0.066,-1.068,10.742,9.277,-47.058
1.127,0.19,-0.973,-3.113,10.071,-39.612
1.071,0.059,-0.809,-26.55,11.353,-27.344
1.025,-0.241,-0.666,-39.429,3.967,-22.339
0.955,-0.397,-0.595,-36.377,-12.451,-34.485
0.913,-0.366,-0.612,-25.085,-32.471,-52.856
0.751,-0.235,-0.693,-23.682,-45.41,-66.772
0.748,-0.157,-0.637,-29.846,-46.753,-71.96
0.788,-0.222,-0.669,-37.231,-39.307,-65.125
0.631,-0.13,-0.59,-45.288,-26.855,-61.462
0.725,-0.136,-0.612,-41.443,-15.076,-49.927
0.636,-0.08,-0.611,-42.725,-3.784,-38.696
0.577,-0.096,-0.58,-38.818,11.78,-34.302
0.625,-0.073,-0.574,-29.297,23.315,-23.621
0.645,-0.032,-0.561,-23.926,30.701,-14.099
0.644,-0.043,-0.512,-19.104,34.424,-5.981
