aX,aY,aZ,gX,gY,gZ
0.879,-1.707,0.644,180.237,-162.415,111.816
1.571,-2.044,0.182,203.674,-263.123,160.4
2.021,-2.504,-0.067,199.28,-380.554,212.769
2.218,-2.982,-0.194,159.668,-532.776,259.766
2.42,-3.031,-0.815,110.168,-721.985,276.184
2.325,-2.718,-1.54,82.092,-895.874,274.353
2.199,-2.515,-2.124,64.392,-1025.513,279.846
2.264,-2.488,-2.64,51.208,-1101.501,314.697
1.875,-2.313,-3.135,38.33,-1094.543,367.981
0.751,-2.095,-3.458,35.156,-977.173,385.925
0.003,-1.899,-2.767,36.56,-773.743,353.638
0.213,-1.569,-1.676,24.048,-585.754,321.533
0.354,-1.268,-0.879,17.456,-487.061,281.189
0.163,-0.86,-0.544,6.287,-480.103,238.892
-0.015,-0.537,-0.593,-5.127,-521.24,218.14
-0.223,-0.481,-0.798,-15.442,-563.721,214.294
-0.484,-0.57,-1.041,-26.917,-584.045,211.914
-0.749,-0.652,-1.332,-23.315,-587.28,192.627
-1.043,-0.699,-1.499,-7.202,-574.585,151.428
-1.35,-0.627,-1.396,7.874,-541.26,109.314
-1.576,-0.511,-1.081,19.287,-501.221,83.313
-1.725,-0.433,-0.792,23.499,-470.886,77.82
-3.295,0.402,0.098,47.668,-454.712,91.492
-4.0,1.555,-2.353,238.953,-385.132,184.692
-4.0,0.021,-1.063,262.39,-71.35,412.109
-3.664,-4.0,0.383,-63.904,68.604,558.899
-0.416,-4.0,-0.966,-284.973,-5.92,288.025
0.223,-2.087,-1.325,-191.101,-50.72,-162.109
0.028,-0.492,-0.283,15.991,-30.884,-418.152
1.053,1.204,-0.245,37.109,7.874,-521.179
0.629,1.036,0.173,44.25,55.42,-407.715
0.181,0.131,0.823,-11.475,111.206,-150.94
0.597,-1.527,1.059,-4.822,82.336,13.916
0.76,-2.452,0.734,22.888,3.845,8.972
0.31,-2.264,0.469,28.625,-49.316,-61.279
0.214,-1.475,0.266,22.522,-61.89,-104.187
0.435,-0.797,0.225,5.31,-42.542,-116.394
0.513,-0.419,0.299,3.296,-20.081,-89.355
0.305,-0.151,0.389,1.099,-9.033,-23.315
0.187,-0.192,0.458,-2.319,-11.902,61.829
-0.129,-1.005,0.745,-2.93,-26.123,120.117
-0.083,-1.607,0.565,9.033,-66.711,82.092
-0.68,-1.006,0.702,24.048,-109.436,12.756
-1.026,-0.41,0.413,8.301,-128.662,11.658
