aX,aY,aZ,gX,gY,gZ
1.923,-0.292,0.713,-33.203,94.788,48.218
2.299,-0.024,0.956,-42.542,124.939,66.528
2.538,0.557,1.156,-46.448,124.939,80.261
2.577,1.634,1.026,-47.058,76.599,88.623
2.559,2.74,0.511,-31.189,-2.441,86.243
2.739,3.261,0.072,-10.254,-64.209,69.336
2.921,3.531,-0.146,-1.953,-105.957,8.972
2.937,3.769,-0.585,27.893,-147.949,-93.262
2.813,3.871,-0.848,90.759,-169.983,-193.359
2.465,3.833,-1.004,164.307,-172.302,-279.297
2.201,3.651,-0.999,232.239,-169.678,-348.938
1.681,3.371,-0.845,307.678,-170.654,-416.748
0.684,2.922,-0.488,405.334,-200.134,-490.479
-0.405,2.006,-0.191,515.259,-272.217,-563.66
-1.249,-0.001,0.238,521.912,-356.445,-576.355
-2.147,-2.618,0.57,320.374,-407.837,-493.408
-3.218,-4.0,-0.037,6.531,-407.715,-365.845
-4.0,-4.0,-2.005,-298.828,-350.281,-281.738
-4.0,-4.0,-3.416,-480.347,-216.736,-315.796
-2.549,-1.737,-3.792,-432.129,-39.49,-443.542
-1.088,0.445,-1.932,-193.42,134.644,-524.353
-0.324,1.478,0.139,5.981,232.666,-442.2
-0.024,0.84,1.105,72.815,161.316,-219.482
-0.284,-0.935,1.344,130.554,-45.532,18.677
-0.648,-1.808,-0.52,243.347,-298.95,93.201
-1.828,-2.277,-1.551,312.561,-370.178,76.111
-2.682,-3.192,-1.386,268.372,-264.343,58.655
-2.294,-3.959,-0.755,162.476,-105.591,21.973
-1.64,-3.638,0.135,38.818,35.034,-46.692
-1.018,-2.408,0.41,-86.426,91.553,-127.625
-0.28,-1.053,0.091,-169.739,90.881,-172.363
-0.094,-0.061,0.144,-182.495,97.412,-155.579
-0.067,0.358,0.491,-157.288,105.103,-98.511
0.229,0.288,0.538,-97.229,71.472,-38.025
0.327,0.072,0.671,-17.395,26.123,12.512
0.302,-0.327,0.611,39.124,-24.719,59.509
0.11,-0.767,0.491,60.059,-66.589,88.989
-0.076,-0.891,0.305,64.209,-87.219,92.712
-0.212,-0.832,0.246,54.504,-75.012,75.867
-0.17,-0.711,0.39,44.312,-43.457,50.659
-0.078,-0.664,0.57,35.522,-13.367,26.184
0.041,-0.718,0.769,25.818,3.601,7.507
0.093,-0.622,0.809,19.47,2.014,-8.728
0.031,-0.586,0.684,19.043,-8.118,-15.381
0.003,-0.667,0.61,19.287,-10.498,-13.55
0.001,-0.756,0.574,24.658,-10.803,-11.047
-0.014,-0.818,0.565,33.691,-11.963,-8.972
0.018,-0.896,0.616,39.001,-15.198,-2.625
0.044,-0.974,0.636,38.269,-25.146,7.141
0.008,-1.005,0.57,34.424,-39.429,16.541
-0.052,-1.022,0.521,28.992,-48.462,22.888
-0.119,-1.02,0.472,23.743,-49.5,23.193
-0.179,-1.0,0.458,19.47,-41.565,17.456
-0.176,-0.987,0.524,14.648,-26.245,9.155
-0.112,-0.959,0.609,9.583,-12.817,1.038
-0.068,-0.912,0.606,6.226,-6.592,-4.15
-0.041,-0.905,0.579,2.502,-3.174,-4.089
-0.003,-0.939,0.598,-0.244,-0.488,-2.441
0.013,-0.939,0.591,-0.793,-1.831,-3.54
0.019,-0.916,0.603,-0.671,-4.822,-4.395
0.026,-0.901,0.603,-1.221,-8.85,-2.258
0.003,-0.895,0.554,-2.014,-13.367,1.709
-0.036,-0.901,0.499,-3.357,-14.343,5.981
-0.062,-0.918,0.466,-2.991,-10.498,6.531
-0.066,-0.926,0.474,-1.038,-3.357,2.441
-0.043,-0.93,0.501,1.587,2.991,-3.174
-0.024,-0.922,0.512,3.54,5.981,-6.897
-0.009,-0.909,0.508,5.066,6.531,-8.301
-0.003,-0.907,0.505,6.958,6.409,-9.033
-0.003,-0.921,0.508,9.277,5.005,-9.216
-0.012,-0.944,0.497,9.644,3.235,-7.629
-0.021,-0.975,0.484,7.446,1.831,-4.333
-0.023,-1.005,0.472,4.028,1.099,-0.854
-0.018,-1.025,0.463,-0.305,0.244,1.404
-0.016,-1.02,0.44,-4.639,-1.465,1.892
-0.025,-0.997,0.397,-7.935,-3.296,0.671
-0.026,-0.975,0.384,-9.827,-2.197,-1.526
-0.013,-0.957,0.412,-10.376,0.427,-2.93
-0.001,-0.935,0.442,-9.399,1.587,-3.235
0.003,-0.925,0.461,-8.423,0.916,-1.526
-0.01,-0.92,0.464,-7.751,0.0,1.282
-0.026,-0.931,0.456,-5.798,-0.183,2.808
-0.009,-0.938,0.464,-4.272,1.77,0.793
0.02,-0.916,0.483,-4.883,3.784,-2.808
0.038,-0.891,0.501,-6.836,3.967,-4.883
0.061,-0.89,0.513,-10.01,2.014,-4.883
0.065,-0.893,0.514,-13.55,-1.77,-3.418
0.046,-0.882,0.493,-16.968,-5.92,-2.38
0.009,-0.863,0.464,-18.372,-8.789,-2.319
-0.021,-0.845,0.456,-17.273,-7.996,-2.38
-0.025,-0.832,0.462,-14.526,-4.639,-2.014
-0.014,-0.82,0.478,-11.597,-1.099,-1.099
0.0,-0.817,0.497,-8.484,1.282,1.099
0.008,-0.823,0.509,-5.31,2.075,3.784
-0.004,-0.829,0.508,-2.014,1.282,5.737
-0.008,-0.858,0.508,1.953,0.671,7.08
-0.016,-0.905,0.511,4.211,0.366,5.92
-0.028,-0.944,0.512,3.357,0.061,0.549
-0.031,-0.952,0.509,0.183,0.0,-6.287
-0.021,-0.927,0.497,-3.906,0.488,-11.536
-0.012,-0.894,0.485,-7.08,1.282,-13.733
-0.009,-0.88,0.488,-9.155,2.869,-13.367
-0.004,-0.879,0.495,-10.254,3.357,-12.024
-0.009,-0.878,0.487,-9.644,1.953,-11.108
-0.022,-0.867,0.474,-7.69,0.793,-9.094
-0.022,-0.871,0.463,-5.005,0.122,-6.042
-0.008,-0.881,0.468,-2.991,0.61,-3.723
0.011,-0.885,0.48,-0.916,0.671,-2.686
0.025,-0.886,0.499,0.671,-0.732,-1.892
0.026,-0.882,0.503,0.732,-3.174,-1.465
0.022,-0.891,0.5,0.427,-5.31,-0.854
0.017,-0.902,0.498,-1.099,-7.08,-0.793
0.01,-0.907,0.497,-3.052,-7.812,-1.526
0.002,-0.903,0.502,-4.639,-7.568,-2.625
-0.006,-0.9,0.513,-5.92,-6.714,-4.517
-0.014,-0.899,0.521,-7.812,-5.493,-6.592
-0.018,-0.9,0.526,-9.521,-4.15,-8.484
-0.016,-0.896,0.524,-10.01,-2.441,-9.399
-0.023,-0.893,0.519,-10.254,-0.488,-9.644
1.417,2.445,-0.621,175.72,4.822,70.313
1.986,2.841,-1.281,177.795,-29.419,74.036
2.676,2.914,-1.925,84.351,-43.274,18.982
2.952,2.832,-2.057,-44.006,-21.729,-114.746
2.694,3.189,-1.682,-97.534,-7.385,-283.752
2.294,3.853,-1.106,-59.448,-42.786,-433.838
1.907,4.0,-0.445,-3.052,-123.718,-530.029
1.153,4.0,0.134,59.937,-236.023,-577.393
0.344,3.769,0.411,159.302,-360.168,-609.741
-0.635,3.119,0.422,265.747,-481.567,-640.137
-1.591,1.861,-0.079,367.432,-571.533,-643.127
-1.951,0.085,-0.446,374.634,-598.083,-585.632
-2.964,-1.923,-0.177,275.513,-564.392,-485.291
-4.0,-3.738,-0.133,195.068,-479.187,-350.22
-4.0,-4.0,-1.306,106.506,-396.973,-219.177
-3.997,-4.0,-2.639,-6.226,-278.259,-149.536
-2.642,-4.0,-2.237,-77.515,-62.317,-202.393
-1.223,-3.285,-1.01,-81.36,125.977,-295.166
-0.624,-1.949,0.371,-78.308,198.364,-300.598
-0.426,-0.918,0.967,-96.008,155.334,-234.985
-0.364,-0.535,1.0,-85.022,58.35,-144.47
-0.528,-0.619,0.662,-26.978,-36.926,-75.989
-0.628,-0.875,0.476,56.458,-97.839,-55.237
-0.52,-1.094,0.373,127.686,-128.174,-59.998
-0.473,-1.231,0.287,165.405,-142.639,-64.453
-0.453,-1.19,0.313,170.105,-138.794,-50.72
-0.441,-1.384,0.483,150.208,-120.483,-19.104
-0.418,-1.465,0.534,122.864,-103.577,5.432
-0.369,-1.296,0.557,87.891,-89.905,14.954
-0.41,-1.153,0.483,49.683,-73.73,14.099
-0.394,-1.077,0.464,19.592,-53.284,4.211
-0.307,-0.969,0.487,3.235,-34.302,-13.428
-0.288,-0.81,0.387,0.854,-20.264,-29.968
-0.259,-0.736,0.429,6.47,-2.808,-31.86
-0.171,-0.768,0.519,15.747,11.169,-22.766
-0.106,-0.801,0.507,28.442,12.817,-14.099
-0.059,-0.799,0.477,40.649,8.667,-7.385
0.008,-0.808,0.481,49.194,2.686,-0.366
0.069,-0.831,0.467,55.481,-6.165,5.676
0.099,-0.876,0.415,58.35,-16.785,9.583
0.07,-0.941,0.397,54.749,-25.146,13.184
0.004,-1.035,0.412,45.41,-28.625,13.611
-0.054,-1.091,0.418,30.579,-29.419,10.986
-0.119,-1.097,0.449,13.184,-27.954,7.08
-0.168,-1.069,0.476,-2.625,-24.353,4.761
-0.187,-1.016,0.459,-16.418,-20.508,2.991
-0.2,-0.979,0.425,-25.757,-14.404,-0.061
-0.202,-0.943,0.415,-31.738,-5.066,-4.7
-0.169,-0.918,0.429,-35.461,4.822,-10.742
-0.125,-0.899,0.438,-37.109,12.024,-17.578
-0.09,-0.881,0.437,-37.415,15.32,-23.621
-0.071,-0.863,0.422,-37.109,15.686,-27.466
-0.044,-0.842,0.411,-35.645,14.587,-28.503
-0.016,-0.811,0.421,-30.823,12.207,-27.527
0.0,-0.79,0.444,-22.4,8.118,-24.963
0.008,-0.796,0.463,-14.709,2.014,-20.874
-0.01,-0.817,0.469,-8.911,-4.456,-15.015
-0.043,-0.85,0.464,-4.517,-10.193,-9.46
-0.082,-0.885,0.453,-1.404,-13.0,-5.92
-0.115,-0.92,0.452,-0.183,-12.329,-4.272
-0.135,-0.956,0.468,-0.671,-9.277,-3.418
-0.151,-0.977,0.474,-3.357,-6.226,-3.235
-0.171,-0.978,0.465,-7.935,-3.845,-2.991
-0.188,-0.978,0.446,-12.268,-0.427,-3.235
-0.177,-0.982,0.445,-14.221,4.761,-4.761
-0.154,-0.969,0.459,-14.648,9.888,-6.958
-0.144,-0.944,0.467,-13.977,13.855,-8.728
-0.119,-0.944,0.49,-13.306,16.846,-10.315
-0.076,-0.946,0.514,-15.198,17.395,-11.963
-0.053,-0.928,0.512,-18.188,13.977,-14.465
-0.047,-0.905,0.483,-19.47,9.094,-16.113
-0.051,-0.887,0.455,-19.775,5.676,-15.625
-0.06,-0.89,0.45,-19.287,4.944,-15.076
-0.062,-0.908,0.463,-18.494,5.188,-14.771
-0.056,-0.92,0.475,-17.822,4.761,-14.893
-0.061,-0.916,0.483,-17.456,3.174,-14.526
-0.087,-0.903,0.482,-17.151,1.526,-13.489
-0.101,-0.901,0.478,-15.442,1.526,-10.803
-0.103,-0.908,0.485,-13.0,3.296,-7.874
-0.102,-0.914,0.49,-11.047,5.798,-6.531
-0.094,-0.91,0.512,-10.437,7.69,-6.104
-0.086,-0.904,0.529,-10.803,8.24,-5.981
-0.076,-0.908,0.531,-10.925,6.836,-5.676
-0.077,-0.911,0.531,-11.353,5.188,-5.31
-0.083,-0.915,0.531,-12.39,3.784,-6.348
-0.087,-0.913,0.523,-14.526,2.808,-7.935
-0.095,-0.915,0.511,-16.968,2.625,-9.277
-0.11,-0.909,0.494,-18.982,3.174,-10.193
-0.117,-0.896,0.474,-19.775,4.211,-11.414
-0.106,-0.884,0.471,-18.616,6.348,-12.207
-0.093,-0.855,0.483,-16.052,8.118,-12.085
-0.073,-0.839,0.491,-11.353,8.545,-9.827
-0.052,-0.842,0.508,-6.592,7.568,-5.066
-0.043,-0.852,0.525,-2.258,4.211,0.671
-0.036,-0.872,0.509,1.343,-1.282,5.432
-0.038,-0.889,0.487,4.639,-5.676,8.179
-0.049,-0.906,0.485,6.714,-7.263,7.874
-0.058,-0.912,0.494,6.897,-7.263,5.554
-0.067,-0.922,0.499,6.287,-6.897,1.892
-0.074,-0.932,0.507,4.883,-6.409,-0.916
-0.084,-0.938,0.519,0.916,-5.554,-2.869
-0.092,-0.932,0.523,-3.723,-4.639,-4.578
-0.097,-0.914,0.52,-6.714,-3.967,-5.432
-0.09,-0.89,0.529,-8.362,-2.319,-5.188
-0.077,-0.869,0.544,-9.399,-0.916,-3.723
-0.069,-0.863,0.549,-9.583,-1.099,-1.831
-0.08,-0.857,0.543,-8.789,-2.136,-0.244
-0.087,-0.861,0.533,-7.446,-3.113,0.671
-0.085,-0.856,0.531,-6.348,-2.808,1.404
-0.086,-0.846,0.537,-5.554,-2.014,1.465
-0.086,-0.84,0.538,-4.395,-2.075,1.343
-0.088,-0.843,0.538,-2.869,-2.075,0.732
-0.092,-0.853,0.537,-1.77,-1.343,-0.244
-0.087,-0.871,0.539,-2.075,-0.732,-1.221
-0.084,-0.876,0.535,-2.563,-0.427,-2.563
-0.087,-0.869,0.526,-2.319,-0.671,-2.93
-0.09,-0.859,0.522,-1.648,-0.244,-2.563
-0.091,-0.865,0.527,-0.549,0.549,-1.953
-0.08,-0.873,0.531,0.122,0.732,-1.404
1.155,1.839,-0.224,6.653,38.696,-6.409
1.32,2.217,-0.373,11.169,34.546,-55.054
1.489,2.689,-0.496,17.09,30.701,-118.713
1.64,3.19,-0.577,37.598,19.897,-187.073
1.794,3.634,-0.643,70.068,1.343,-256.653
1.77,3.861,-0.638,94.788,-19.165,-332.458
1.492,3.846,-0.566,116.089,-42.236,-406.677
1.081,3.66,-0.492,144.958,-72.571,-473.145
0.598,3.32,-0.381,176.514,-112.427,-537.903
0.191,2.893,-0.195,194.153,-167.786,-599.67
-0.607,2.675,0.118,218.323,-237.244,-652.039
-2.001,2.354,0.407,301.819,-303.772,-698.608
-2.863,1.42,0.143,383.789,-352.356,-719.604
-3.382,0.014,-0.691,360.168,-384.521,-646.851
-4.0,-1.739,-1.565,324.158,-342.59,-526.917
-4.0,-3.917,-2.022,275.757,-230.896,-418.884
-4.0,-4.0,-1.797,149.17,-99.67,-330.505
-3.08,-4.0,-1.678,-5.615,25.452,-329.895
-2.063,-4.0,-1.416,-110.046,119.995,-407.532
-1.415,-3.037,-1.178,-159.729,170.776,-427.673
-0.73,-1.395,-0.942,-151.123,190.979,-347.412
-0.588,-0.483,0.271,-131.104,224.67,-213.501
-0.428,-0.486,1.023,-121.216,182.861,-93.323
-0.141,-0.81,0.98,-62.073,50.415,-25.269
-0.321,-0.892,0.613,28.442,-72.144,-13.55
-0.491,-0.829,0.259,111.572,-150.208,-22.095
-0.459,-1.066,0.004,160.278,-178.833,-19.104
-0.549,-1.395,-0.042,177.368,-166.504,-7.751
-0.629,-1.752,0.136,164.551,-132.629,7.812
-0.597,-2.021,0.294,127.075,-100.159,17.7
-0.643,-2.019,0.325,75.073,-72.815,10.62
-0.629,-1.723,0.244,14.709,-43.945,-8.728
-0.475,-1.449,0.244,-40.527,-10.254,-28.809
-0.335,-1.165,0.224,-73.975,18.555,-47.241
-0.174,-0.898,0.238,-86.609,38.818,-57.739
-0.069,-0.723,0.258,-83.191,50.72,-56.946
-0.004,-0.594,0.284,-66.162,54.81,-46.082
0.094,-0.632,0.381,-42.725,52.185,-27.405
0.145,-0.754,0.458,-17.639,39.917,-10.681
0.116,-0.843,0.427,4.883,17.273,-1.282
0.07,-0.908,0.379,19.714,-4.333,4.028
0.015,-0.984,0.315,26.611,-20.569,8.423
-0.05,-1.068,0.274,28.87,-28.992,8.85
-0.102,-1.106,0.279,28.442,-30.64,4.7
-0.142,-1.096,0.291,24.658,-29.297,-1.526
-0.181,-1.082,0.302,19.897,-25.696,-4.7
-0.218,-1.086,0.314,13.367,-20.508,-3.479
-0.221,-1.101,0.323,5.31,-14.587,-0.244
-0.222,-1.107,0.313,-2.319,-9.277,0.61
-0.218,-1.092,0.315,-8.728,-4.333,-0.549
-0.193,-1.053,0.312,-14.832,-0.244,-3.113
-0.154,-1.009,0.3,-18.799,3.052,-5.31
-0.111,-0.976,0.309,-20.203,6.226,-5.493
-0.073,-0.95,0.326,-21.179,7.935,-4.089
-0.045,-0.931,0.33,-21.545,7.019,-2.441
-0.028,-0.918,0.333,-20.264,5.31,-0.427
-0.026,-0.91,0.34,-18.372,2.869,0.122
-0.039,-0.89,0.345,-16.418,0.732,-1.343
-0.052,-0.882,0.341,-13.733,-0.671,-4.272
-0.06,-0.889,0.348,-10.986,-0.854,-5.859
-0.068,-0.907,0.368,-9.705,-0.488,-6.714
-0.076,-0.924,0.372,-9.094,-1.099,-6.348
-0.089,-0.942,0.365,-7.996,-1.831,-5.493
-0.112,-0.954,0.35,-7.263,-2.075,-4.578
-0.116,-0.963,0.348,-6.592,-0.793,-3.662
-0.109,-0.961,0.35,-6.348,0.061,-2.808
-0.112,-0.951,0.348,-6.226,-0.244,-1.587
-0.119,-0.95,0.328,-6.409,-1.16,0.366
-0.126,-0.965,0.304,-5.31,-1.038,2.075
-0.116,-0.989,0.308,-3.418,0.854,1.953
-0.096,-0.999,0.33,-2.93,2.319,0.671
-0.083,-0.997,0.336,-3.479,1.587,-1.709
-0.083,-0.994,0.325,-4.944,-0.61,-3.54
-0.081,-0.989,0.319,-6.836,-2.197,-4.517
-0.076,-0.974,0.317,-7.996,-2.93,-4.456
-0.086,-0.962,0.322,-8.179,-3.113,-4.15
-0.089,-0.963,0.337,-8.057,-2.93,-3.235
-0.081,-0.975,0.352,-8.728,-3.296,-2.93
-0.08,-0.987,0.366,-9.705,-3.967,-2.686
-0.092,-0.986,0.382,-10.925,-4.211,-2.686
-0.098,-0.977,0.385,-12.634,-4.272,-2.625
